name,region,district,resource_type,water_type,fauna,passport_date,latitude,longitude,coord_center,coord_north,coord_south,coord_east,coord_west,length_m,width_m,area_ha,depth_max_m,depth_avg_m,depth_min_m,vegetation_surfa,vegetation_unde,phytoplankton_le,fish_presence,invertebrates,fish_productivity,pdf_url
Усть-Каменогорское водохранилище,Восточно-Казахстанская,г. Усть-Каменогорск,водохранилище,пресная,да,2009-03-15,49.9,82.72,49.90N 82.72E,,,,,12000,2500,350,22.0,10.0,1.2,средне,средне,средне,карп; лещ,нет,60,https://example.com/oskemen_vodohr
Интумакское водохранилище,Карагандинская,Осакаровский,водохранилище,пресная,да,2009-09-09,50.8,72.55,50.80N 72.55E,,,,,6000,800,45,18.0,8.0,0.8,средне,средне,средне,карп,нет,50,https://example.com/intumak
Самаркандское водохранилище,Карагандинская,Нуринский,водохранилище,пресная,да,2012-10-01,50.1,73.1,50.10N 73.10E,,,,,7000,900,52,20.0,9.0,0.9,средне,средне,сильно,карп; сазан,нет,55,https://example.com/samarkand
Коксарайское водохранилище,Туркестанская,Отырарский,водохранилище,пресная,да,2016-05-01,42.46,68.25,42.46N 68.25E,,,,,14000,3500,750,19.0,9.0,1.1,средне,средне,средне,сазан,нет,48,https://example.com/koksarai
Кенгирское водохранилище,Карагандинская,г. Жезказган,водохранилище,пресная,да,2003-07-25,47.77,67.71,47.77N 67.71E,,,,,10500,3200,680,22.0,9.0,1.0,средне,средне,слабо,сазан,нет,38,https://example.com/kengir
Канал Иртыш–Караганда,Павлодарская,Павлодарский,канал,пресная,нет,2001-04-12,52.3,76.95,52.30N 76.95E,,,,,450000,50,1200,8.0,3.0,0.2,слабо,слабо,слабо,нет,нет,15,https://example.com/irt_karaganda
Арысь–Туркестанский канал,Туркестанская,Арыський,канал,пресная,нет,1998-06-10,42.43,68.81,42.43N 68.81E,,,,,380000,40,1050,7.0,2.5,0.2,средне,слабо,средне,нет,нет,18,https://example.com/arysturk
Канал Шардара–Кызылорда,Кызылординская,Кызылординский,канал,пресная,нет,2005-08-11,44.85,65.5,44.85N 65.50E,,,,,250000,35,900,6.0,2.2,0.15,слабо,слабо,средне,нет,нет,20,https://example.com/shard_kyz
Канал Астраханка,Акмолинская,Целиноградский,канал,пресная,нет,2007-09-09,51.1,71.5,51.10N 71.50E,,,,,120000,30,700,5.0,2.0,0.1,средне,средне,слабо,нет,нет,12,https://example.com/astrahanka
ГТС Каратал,Жетысуская,Каратальский,гидротехническое сооружение,пресная,нет,2011-05-15,45.02,79.55,45.02N 79.55E,,,,,800,50,12,6.0,3.0,0.2,слабо,слабо,слабо,нет,нет,10,https://example.com/gts_karatal
ГТС Чарын,Алматинская,Уйгурский,гидротехническое сооружение,пресная,нет,2014-07-20,43.31,79.1,43.31N 79.10E,,,,,900,55,15,7.0,3.0,0.25,средне,средне,средне,нет,нет,14,https://example.com/gts_charyn
ГТС Аягоз,Абая,Аягозский,гидротехническое сооружение,пресная,нет,2016-09-01,47.95,80.43,47.95N 80.43E,,,,,1100,60,18,8.0,4.0,0.3,слабо,средне,сильно,нет,нет,16,https://example.com/gts_ayagoz
ГТС Урал,Атырауская,г. Атырау,гидротехническое сооружение,пресная,нет,2013-04-22,47.12,51.88,47.12N 51.88E,,,,,950,58,17,7.0,3.0,0.28,средне,средне,средне,нет,нет,15,https://example.com/gts_ural
ГТС Есиль,Акмолинская,г. Астана,гидротехническое сооружение,пресная,нет,2019-06-18,51.16,71.47,51.16N 71.47E,,,,,1000,65,19,9.0,4.0,0.32,слабо,слабо,слабо,нет,нет,18,https://example.com/gts_yesil
ГТС Сырдарья,Кызылординская,г. Кызылорда,гидротехническое сооружение,пресная,нет,2010-11-12,44.85,65.5,44.85N 65.50E,,,,,1150,70,22,10.0,5.0,0.35,сильно,средне,сильно,нет,нет,20,https://example.com/gts_syr
